id,provincia,canton,modulo,tipo,extension,tamano_mb,porcentaje,estado_documental,condicion_tecnica,archivo,ruta,keywords,snippet
ab855b255aaf,Los Ríos,Vinces,Informe de valoración,Informe pendiente,txt,0.0,,,,INFORME_VALORACION_PENDIENTE.txt,Los Ríos/Vinces/02_INFORME_VALORACION/INFORME_VALORACION_PENDIENTE.txt,,INFORME DE VALORACIÓN PENDIENTE · Los Ríos / Vinces No se localizó un plan o registro específico suficiente para emitir valoración técnica. Pendiente cargar o ubicar el documento base del cantón.
f0f7c6ac1b64,Los Ríos,Vinces,Anexos verificables,Lista verificables,txt,0.0,,,,LISTA_VERIFICABLES_MINIMOS.txt,Los Ríos/Vinces/03_ANEXOS_VERIFICABLES/LISTA_VERIFICABLES_MINIMOS.txt,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07,"Verificables mínimos sugeridos: 1. Plan firmado o versión editable controlada. 2. Acta de COE o disposición institucional. 3. Matriz de acciones, responsables, plazos e indicadores. 4. Mapa, croquis, KMZ/SHP o georreferenciación de puntos críticos. 5. Fotografías por punto o sector. 6. Inventario de recursos y capacidades. 7. Registro de alojamientos temporales, rutas y puntos seguros. 8. Matriz F07 de seguimiento mensual."
0bba9a0a8967,Los Ríos,Vinces,Seguimiento F07,Guía F07,txt,0.0,,,,GUIA_SEGUIMIENTO_F07.txt,Los Ríos/Vinces/04_SEGUIMIENTO_F07/GUIA_SEGUIMIENTO_F07.txt,Seguimiento F07,Registrar mensualmente: - Porcentaje anterior. - Porcentaje actual. - Actividades ejecutadas. - Actividades pendientes. - Brechas. - Apoyo requerido. - Verificables disponibles.
9be661f17e87,Los Ríos,Vinces,Plan / referencias,Sin archivo localizado,txt,0.0,,,,SIN_ARCHIVOS_COMPARTIDOS_LOCALIZADOS.txt,Los Ríos/Vinces/01_PLAN_COMPARTIDO_O_REFERENCIAS/SIN_ARCHIVOS_COMPARTIDOS_LOCALIZADOS.txt,Seguimiento F07,Los Ríos / Vinces No se localizaron archivos o registros específicos compartidos para este cantón en la búsqueda realizada. La carpeta queda preparada para incorporar: - Plan de Acción ENOS 2026-2027. - Informe de valoración. - Anexos verificables. - Seguimiento mensual F07.
b83f3e8339fd,Los Ríos,Vinces,Plan / referencias,PDF soporte,pdf,0.13,,,,GADMVINCES-ALCALDIA-2026-0113-O.pdf,Los Ríos/Vinces/01_PLAN_COMPARTIDO_O_REFERENCIAS/GADMVINCES-ALCALDIA-2026-0113-O.pdf,Infraestructura expuesta,"Oficio Nro. GADMVINCES-ALCALDIA-2026-0113-O Vinces, 23 de junio de 2026 Asunto: Entrega del Plan de Acción ante el Fenómeno El Niño 2026-2027 Señor Jairo Fabricio Jaramillo Rucano Coordinador Zonal 5 de Gestión de Riesgos SECRETARÍA NACIONAL DE GESTIÓN DE RIESGOS En su Despacho De mi consideración: Reciba un cordial y atento saludo. Por medio del presente, en cumplimiento con las directrices nacionales de preparación y reducción de riesgos, me dirijo a usted para realizar la entrega formal del P"
4fada9698e9b,Los Ríos,Vinces,Plan / referencias,Plan / contingencia,pdf,1.32,,,,Plan de Acción ante el evento El Niño 2026 - 2027.pdf,Los Ríos/Vinces/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de Acción ante el evento El Niño 2026 - 2027.pdf,Inundación/anegamiento; Desbordamiento; Infraestructura expuesta; COE / coordinación,"Alcaldía de . / olí-uuo cU Cutera! ej A D M I N I S T R A C I Ó N 2 0 2 3 - 2027 U \o N° UGR-JCM-046-2026 Para: Tnglo. Alfonso Montaivan Cerezo - ALCALDE DEL CANTÓN VINCES Fecha: 22 de Junio del 2026 Asunto: Pian de Acción ante el evento El Niño 2026 - 2027 Estimado Señor Alcalde, en atención al Oficio N°SNGR-CZ5GR-2026-Q324 con fecha 17 de Junio del 2026 suscrito por el Señor Jaira Fabricio Jaramillo Rúcano en calidad de Coordinador Zonal 5 de Gestión de Riesgos, y de la Circular N° MAE- SAPSRD"
668fb714eaa5,Los Ríos,Ventanas,Informe de valoración,Informe pendiente,txt,0.0,,,,INFORME_VALORACION_PENDIENTE.txt,Los Ríos/Ventanas/02_INFORME_VALORACION/INFORME_VALORACION_PENDIENTE.txt,,INFORME DE VALORACIÓN PENDIENTE · Los Ríos / Ventanas No se localizó un plan o registro específico suficiente para emitir valoración técnica. Pendiente cargar o ubicar el documento base del cantón.
ed1f4d7530c0,Los Ríos,Ventanas,Seguimiento F07,Guía F07,txt,0.0,,,,GUIA_SEGUIMIENTO_F07.txt,Los Ríos/Ventanas/04_SEGUIMIENTO_F07/GUIA_SEGUIMIENTO_F07.txt,Seguimiento F07,Registrar mensualmente: - Porcentaje anterior. - Porcentaje actual. - Actividades ejecutadas. - Actividades pendientes. - Brechas. - Apoyo requerido. - Verificables disponibles.
727efa5346a2,Los Ríos,Ventanas,Anexos verificables,Lista verificables,txt,0.0,,,,LISTA_VERIFICABLES_MINIMOS.txt,Los Ríos/Ventanas/03_ANEXOS_VERIFICABLES/LISTA_VERIFICABLES_MINIMOS.txt,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07,"Verificables mínimos sugeridos: 1. Plan firmado o versión editable controlada. 2. Acta de COE o disposición institucional. 3. Matriz de acciones, responsables, plazos e indicadores. 4. Mapa, croquis, KMZ/SHP o georreferenciación de puntos críticos. 5. Fotografías por punto o sector. 6. Inventario de recursos y capacidades. 7. Registro de alojamientos temporales, rutas y puntos seguros. 8. Matriz F07 de seguimiento mensual."
056dcd1c5e5e,Los Ríos,Ventanas,Plan / referencias,Sin archivo localizado,txt,0.0,,,,SIN_ARCHIVOS_COMPARTIDOS_LOCALIZADOS.txt,Los Ríos/Ventanas/01_PLAN_COMPARTIDO_O_REFERENCIAS/SIN_ARCHIVOS_COMPARTIDOS_LOCALIZADOS.txt,Seguimiento F07,Los Ríos / Ventanas No se localizaron archivos o registros específicos compartidos para este cantón en la búsqueda realizada. La carpeta queda preparada para incorporar: - Plan de Acción ENOS 2026-2027. - Informe de valoración. - Anexos verificables. - Seguimiento mensual F07.
26571c5d1c72,Los Ríos,Ventanas,Plan / referencias,Plan / contingencia,pdf,0.4,,,,Plan_ENOS_Cantón_Ventanas-signed-signed.pdf,Los Ríos/Ventanas/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_ENOS_Cantón_Ventanas-signed-signed.pdf,Inundación/anegamiento; Desbordamiento; Alojamiento temporal; Infraestructura expuesta; COE / coordinación; Recursos/maquinaria; Mitigación/obras,"PLAN DE ACCIÓN TERRITORIAL ANTE EL EVENTO EL NIÑO 2026–2027 GAD MUNICIPAL DEL CANTÓN VENTANAS - PROVINCIA DE LOS RÍOS 1. DATOS GENERALES Provincia: Los Ríos Cantón: Ventanas Fecha: 23/06/2026 Responsable técnico: Ing. Rodrigo Renato Roldán Yépez Cargo: Jefe de la Unidad de Gestión de Riesgos 2. INTRODUCCIÓN El cantón Ventanas presenta condiciones de exposición frente a los posibles efectos asociados al Evento El Niño 2026–2027, principalmente por inundaciones y anegamientos derivados del desbord"
4850f061b047,Los Ríos,Urdaneta,Anexos verificables,Lista verificables,txt,0.0,,,,LISTA_VERIFICABLES_MINIMOS.txt,Los Ríos/Urdaneta/03_ANEXOS_VERIFICABLES/LISTA_VERIFICABLES_MINIMOS.txt,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07,"Verificables mínimos sugeridos: 1. Plan firmado o versión editable controlada. 2. Acta de COE o disposición institucional. 3. Matriz de acciones, responsables, plazos e indicadores. 4. Mapa, croquis, KMZ/SHP o georreferenciación de puntos críticos. 5. Fotografías por punto o sector. 6. Inventario de recursos y capacidades. 7. Registro de alojamientos temporales, rutas y puntos seguros. 8. Matriz F07 de seguimiento mensual."
dbe326b00692,Los Ríos,Urdaneta,Plan / referencias,MD,md,0.0,,,,REFERENCIAS_ARCHIVOS_COMPARTIDOS.md,Los Ríos/Urdaneta/01_PLAN_COMPARTIDO_O_REFERENCIAS/REFERENCIAS_ARCHIVOS_COMPARTIDOS.md,Mitigación/obras; Formulario F01; Formulario F02,# Archivos compartidos o registros localizados · Los Ríos / Urdaneta ## Plan-de-Acción-GADURDANETA-2026 / registros F01-F02-F04 Tipo: Registro/base Fuente: File Library Nota: Puntos: Muro de contención y San Antonio del Río. Nota: esta carpeta contiene referencias y extractos operativos. Los binarios originales no se pudieron incrustar automáticamente desde la Biblioteca de Archivos.
c5eec834980d,Los Ríos,Urdaneta,Plan / referencias,Plan / contingencia,pdf,1.7,,,,PLAN DE ACCIÓN TERRITORIAL ANTE EL EVENTO EL NIÑO 2026.-signed-signed-signed.pdf,Los Ríos/Urdaneta/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN TERRITORIAL ANTE EL EVENTO EL NIÑO 2026.-signed-signed-signed.pdf,Inundación/anegamiento; Desbordamiento; Erosión/socavación; Alojamiento temporal; Rutas/evacuación; Infraestructura expuesta; COE / coordinación; Mitigación/obras,"PLAN DE ACCIÓN TERRITORIAL ANTE EL EVENTO EL NIÑO 2026– 2027 GAD MUNICIPAL DE URDANETA – PROVINCIA DE LOS RÍOS 1. Datos generales Provincia: Los Ríos Cantón: Urdaneta GAD responsable: GAD Municipal de Urdaneta Código del caso: Plan-de-Acción-GADURDANETA-2026 responsable técnico: Guido Gavica Moreira, Jefe de Riesgo, Ambiente, Áridos y Pétreos 2. Introducción El cantón Urdaneta presenta exposición territorial frente a eventos asociados al Evento El Niño 2026–2027, principalmente por inundaciones,"
a43a9fc4017d,Los Ríos,Urdaneta,Seguimiento F07,Guía F07,txt,0.0,60,,,GUIA_SEGUIMIENTO_F07.txt,Los Ríos/Urdaneta/04_SEGUIMIENTO_F07/GUIA_SEGUIMIENTO_F07.txt,Seguimiento F07,"SEGUIMIENTO F07 · Los Ríos / Urdaneta Estado sugerido para seguimiento mensual: - Actualizar porcentaje de implementación cada mes. - Registrar actividades ejecutadas, actividades pendientes, brechas, apoyo requerido y verificables. - Usar criterios C1-C10 para medir avance. - Adjuntar actas, fotos, mapas, oficios, informes técnicos o enlaces Drive. Porcentaje base sugerido: 60 %"
f1e05d8850fb,Los Ríos,Urdaneta,Informe de valoración,Informe / revisión,pdf,0.01,73,,,Informe_revision_porcentaje_Urdaneta_ENOS.pdf,Los Ríos/Urdaneta/02_INFORME_VALORACION/Informe_revision_porcentaje_Urdaneta_ENOS.pdf,Inundación/anegamiento; Erosión/socavación; Alojamiento temporal; Rutas/evacuación; COE / coordinación; Recursos/maquinaria; Mitigación/obras,"INFORME DE REVISION Y PORCENTAJE DE INTEGRACION Plan de Accion Cantonal ante el Evento El Nino 2026-2027 - GAD Municipal de Urdaneta Fecha de revision: 23 de junio de 2026 Archivo evaluado: PLAN DE ACCION URDANETA (2).docx Resultado global: 73 % de integracion de lineamientos 1. Criterio general El plan presenta una estructura completa y coherente para una primera version cantonal: incorpora antecedentes, objetivos, caracterizacion territorial, organizacion del COE, fases de accion, recursos, se"
db17f962fa06,Los Ríos,Urdaneta,Informe de valoración,Informe / revisión,md,0.0,60,Registros F01/F04 localizados; sin plan final localizado,Base parcial para plan,INFORME_VALORACION_URDANETA.md,Los Ríos/Urdaneta/02_INFORME_VALORACION/INFORME_VALORACION_URDANETA.md,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Formulario F01; Seguimiento F07,# INFORME DE VALORACIÓN TÉCNICA ## Plan de Acción ENOS 2026-2027 · Los Ríos / Urdaneta **Estado documental:** Registros F01/F04 localizados; sin plan final localizado **Porcentaje estimado de afinidad / concordancia con lineamientos SNGR:** 60 % **Condición técnica:** Base parcial para plan ## 1. Base de valoración Se registran puntos críticos con necesidad de mitigación e intervención de Prefectura. ## 2. Criterios aplicados La valoración se organiza sobre diez criterios operativos usados para 
41a5f47b74b1,Los Ríos,Palenque,Seguimiento F07,Guía F07,txt,0.0,76,,,GUIA_SEGUIMIENTO_F07.txt,Los Ríos/Palenque/04_SEGUIMIENTO_F07/GUIA_SEGUIMIENTO_F07.txt,Seguimiento F07,"SEGUIMIENTO F07 · Los Ríos / Palenque Estado sugerido para seguimiento mensual: - Actualizar porcentaje de implementación cada mes. - Registrar actividades ejecutadas, actividades pendientes, brechas, apoyo requerido y verificables. - Usar criterios C1-C10 para medir avance. - Adjuntar actas, fotos, mapas, oficios, informes técnicos o enlaces Drive. Porcentaje base sugerido: 76 %"
d806a1b59a6d,Los Ríos,Palenque,Anexos verificables,Lista verificables,txt,0.0,,,,LISTA_VERIFICABLES_MINIMOS.txt,Los Ríos/Palenque/03_ANEXOS_VERIFICABLES/LISTA_VERIFICABLES_MINIMOS.txt,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07,"Verificables mínimos sugeridos: 1. Plan firmado o versión editable controlada. 2. Acta de COE o disposición institucional. 3. Matriz de acciones, responsables, plazos e indicadores. 4. Mapa, croquis, KMZ/SHP o georreferenciación de puntos críticos. 5. Fotografías por punto o sector. 6. Inventario de recursos y capacidades. 7. Registro de alojamientos temporales, rutas y puntos seguros. 8. Matriz F07 de seguimiento mensual."
f6a4b0784b26,Los Ríos,Palenque,Informe de valoración,Informe / revisión,md,0.0,76,Plan localizado,Borrador con estructura útil; requiere validación final,INFORME_VALORACION_PALENQUE.md,Los Ríos/Palenque/02_INFORME_VALORACION/INFORME_VALORACION_PALENQUE.md,Alojamiento temporal; Rutas/evacuación; Infraestructura expuesta; COE / coordinación; Formulario F01; Seguimiento F07,"# INFORME DE VALORACIÓN TÉCNICA ## Plan de Acción ENOS 2026-2027 · Los Ríos / Palenque **Estado documental:** Plan localizado **Porcentaje estimado de afinidad / concordancia con lineamientos SNGR:** 76 % **Condición técnica:** Borrador con estructura útil; requiere validación final ## 1. Base de valoración El plan registra datos generales, responsables, firmas, anexos de cartografía de amenazas, sectores priorizados, red vial expuesta, río Palenque e infraestructura crítica. ## 2. Criterios apl"
34854a88cf9d,Los Ríos,Palenque,Informe de valoración,Informe / revisión,pdf,0.04,76,,,Revision_tecnica_Plan_ENOS_Palenque_2026_2027 (1).pdf,Los Ríos/Palenque/02_INFORME_VALORACION/Revision_tecnica_Plan_ENOS_Palenque_2026_2027 (1).pdf,Inundación/anegamiento; Alojamiento temporal; Rutas/evacuación; Infraestructura expuesta; COE / coordinación; Recursos/maquinaria,"INFORME DE REVISIÓN TÉCNICA Plan de Acción Cantonal ante el Evento El Niño 2026-2027 - GAD Municipal del Cantón Palenque Documento revisado PLAN DE ACCION TERRITORIAL PALENQUE PARA EL NIÑO 2026-2027.pdf Extensión 32 páginas Resultado global Concordancia técnica estimada: 76% - Aceptable con correcciones obligatorias Criterio de revisión Lineamientos SNGR/COE, estructura de planes ENOS, fases de gestión del riesgo, operatividad territorial y trazabilidad documental Conclusión ejecutiva. El plan s"
45c71b37dea1,Los Ríos,Palenque,Plan / referencias,MD,md,0.0,,,,REFERENCIAS_ARCHIVOS_COMPARTIDOS.md,Los Ríos/Palenque/01_PLAN_COMPARTIDO_O_REFERENCIAS/REFERENCIAS_ARCHIVOS_COMPARTIDOS.md,,# Archivos compartidos o registros localizados · Los Ríos / Palenque ## PLAN DE ACCION TERRITORIAL PALENQUE PARA EL NIÑO 2026-2027.pdf Tipo: PDF Fuente: File Library Nota: Plan cantonal ante ENOS 2026-2027. Nota: esta carpeta contiene referencias y extractos operativos. Los binarios originales no se pudieron incrustar automáticamente desde la Biblioteca de Archivos.
9bba59683328,Los Ríos,Palenque,Plan / referencias,Informe / revisión,pdf,0.04,76,,,Revision_tecnica_Plan_ENOS_Palenque_2026_2027 (1).pdf,Los Ríos/Palenque/01_PLAN_COMPARTIDO_O_REFERENCIAS/Revision_tecnica_Plan_ENOS_Palenque_2026_2027 (1).pdf,Inundación/anegamiento; Alojamiento temporal; Rutas/evacuación; Infraestructura expuesta; COE / coordinación; Recursos/maquinaria,"INFORME DE REVISIÓN TÉCNICA Plan de Acción Cantonal ante el Evento El Niño 2026-2027 - GAD Municipal del Cantón Palenque Documento revisado PLAN DE ACCION TERRITORIAL PALENQUE PARA EL NIÑO 2026-2027.pdf Extensión 32 páginas Resultado global Concordancia técnica estimada: 76% - Aceptable con correcciones obligatorias Criterio de revisión Lineamientos SNGR/COE, estructura de planes ENOS, fases de gestión del riesgo, operatividad territorial y trazabilidad documental Conclusión ejecutiva. El plan s"
f2145f190877,Los Ríos,Palenque,Plan / referencias,Plan / contingencia,pdf,4.01,,,,PLAN_DE_ACCION_TERRITORIAL_DEL_GADM_PALENQUE_EL_NINO_20262027_signed-signed-signed-1.pdf,Los Ríos/Palenque/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN_DE_ACCION_TERRITORIAL_DEL_GADM_PALENQUE_EL_NINO_20262027_signed-signed-signed-1.pdf,Inundación/anegamiento; Infraestructura expuesta; COE / coordinación,"PLAN DE ACCIÓN DEL CANTÓN PALENQUE PLAN DE ACCION ANTE EL EVENTO DEL FENOMENO DEL NIÑO 2026- 2027 Tnlg. JORDY CARRIEL NAVARRETE ALCALDE PLAN DE ACCIÓN CANTONAL ANTE EL EVENTO EL NIÑO 2026–2027 GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PALENQUE DATOS GENERALES, INTRODUCCIÓN, OBJETIVOS Y CARACTERIZACIÓN TERRITORIAL Provincia: Los Ríos Cantón: Palenque Responsable institucional: Ing. Washington Escobar Villamar Coordinador de Gestión de Riesgos Elaborado por: Julio Emanuel Peñafiel Anc"
9d2589a4f373,Los Ríos,Puebloviejo,Informe de valoración,Informe / revisión,md,0.0,78,Plan localizado,Concordancia media-alta; requiere validación de anexos y verificables,INFORME_VALORACION_PUEBLOVIEJO.md,Los Ríos/Puebloviejo/02_INFORME_VALORACION/INFORME_VALORACION_PUEBLOVIEJO.md,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Formulario F01; Seguimiento F07,"# INFORME DE VALORACIÓN TÉCNICA ## Plan de Acción ENOS 2026-2027 · Los Ríos / Puebloviejo **Estado documental:** Plan localizado **Porcentaje estimado de afinidad / concordancia con lineamientos SNGR:** 78 % **Condición técnica:** Concordancia media-alta; requiere validación de anexos y verificables ## 1. Base de valoración El plan incorpora datos generales, introducción, objetivos, caracterización territorial, amenazas prioritarias y activación del COE Cantonal. ## 2. Criterios aplicados La val"
e63ce0122e30,Los Ríos,Puebloviejo,Anexos verificables,Lista verificables,txt,0.0,,,,LISTA_VERIFICABLES_MINIMOS.txt,Los Ríos/Puebloviejo/03_ANEXOS_VERIFICABLES/LISTA_VERIFICABLES_MINIMOS.txt,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07,"Verificables mínimos sugeridos: 1. Plan firmado o versión editable controlada. 2. Acta de COE o disposición institucional. 3. Matriz de acciones, responsables, plazos e indicadores. 4. Mapa, croquis, KMZ/SHP o georreferenciación de puntos críticos. 5. Fotografías por punto o sector. 6. Inventario de recursos y capacidades. 7. Registro de alojamientos temporales, rutas y puntos seguros. 8. Matriz F07 de seguimiento mensual."
ced7e3ee3505,Los Ríos,Puebloviejo,Seguimiento F07,Guía F07,txt,0.0,78,,,GUIA_SEGUIMIENTO_F07.txt,Los Ríos/Puebloviejo/04_SEGUIMIENTO_F07/GUIA_SEGUIMIENTO_F07.txt,Seguimiento F07,"SEGUIMIENTO F07 · Los Ríos / Puebloviejo Estado sugerido para seguimiento mensual: - Actualizar porcentaje de implementación cada mes. - Registrar actividades ejecutadas, actividades pendientes, brechas, apoyo requerido y verificables. - Usar criterios C1-C10 para medir avance. - Adjuntar actas, fotos, mapas, oficios, informes técnicos o enlaces Drive. Porcentaje base sugerido: 78 %"
