provincia,canton,codigo_dpa,folder_provincia,folder_canton,total_archivos,pdf_total,docx_total,md_total,txt_total,archivo_plan_principal,estado_extraccion,paginas_pdf,paginas_leidas,caracteres_extraidos,estado_documental,porcentaje_concordancia,condicion_tecnica,informe_valoracion_md,amenazas_detectadas,brechas_detectadas,respuesta_detectada,fortalecimiento_detectado,monitoreo_detectado,semaforo_preliminar_acompanamiento,lectura_base,lectura_tecnica_informe
Guayas,Guayaquil,0901,Guayas,Guayaquil,14,9,1,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Guayaquil/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN TERRITORIAL ANTE EL EVENTO ENOS 2026-2027_SEGURAEP_GADMGUAYAQUIL_V1-signed-signed-signed-signed-signed.pdf,texto_extraible,51,50,50723,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Inundación; Afectación vial; Movimiento en masa / deslizamiento; Déficit hídrico / sequía,Coordinación COE/MTT; Monitoreo y evidencias; Drenaje / alcantarillado insuficiente; Maquinaria / recursos operativos; Alojamientos temporales por validar,"Activación COE/UGR; Alojamientos temporales; Recursos y logística; Limpieza y mantenimiento preventivo; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Simulacros / ejercicios; Protocolos / procedimientos; Capacitación; Actualización del plan,Alertas / vigilancia; Reportes; Evidencias; Seguimiento mensual; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Inundación, Afectación vial; brechas: Coordinación COE/MTT, Monitoreo y evidencias, Drenaje / alcantarillado insuficiente.",
Guayas,Alfredo Baquerizo Moreno,0902,Guayas,Alfredo Baquerizo Moreno (Jujan),7,2,1,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Alfredo Baquerizo Moreno (Jujan)/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_GAD_JUJAN V01_2026 ENVIO-signed-signed (1)-signed (1)-signed-1.pdf,texto_extraible,30,30,58442,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Inundación; Erosión hídrica / socavación; Afectación vial; Movimiento en masa / deslizamiento,Coordinación COE/MTT; Drenaje / alcantarillado insuficiente; Monitoreo y evidencias; Maquinaria / recursos operativos; Alojamientos temporales por validar,"Activación COE/UGR; Limpieza y mantenimiento preventivo; Evacuación, rutas y puntos seguros; Recursos y logística; Alojamientos temporales",Fortalecimiento UGR/COE; Protocolos / procedimientos; Simulacros / ejercicios; Capacitación,Evidencias; Reportes; Alertas / vigilancia; Seguimiento mensual; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Inundación, Erosión hídrica / socavación; brechas: Coordinación COE/MTT, Drenaje / alcantarillado insuficiente, Monitoreo y evidencias.",
Guayas,Balao,0903,Guayas,Balao,5,2,0,0,3,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Balao/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE RESPUESTA ANTE EL FENÓMENO EL NIÑO EL CANTON BALAO 2026-signed-signed.pdf,texto_extraible,26,26,44136,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Inundación; Afectación vial; Erosión hídrica / socavación; Movimiento en masa / deslizamiento,Monitoreo y evidencias; Rutas y puntos seguros por validar; Coordinación COE/MTT; Alojamientos temporales por validar; Drenaje / alcantarillado insuficiente,"Evacuación, rutas y puntos seguros; Limpieza y mantenimiento preventivo; Alojamientos temporales; Recursos y logística; Activación COE/UGR",Fortalecimiento UGR/COE; Simulacros / ejercicios; Protocolos / procedimientos; Capacitación,Alertas / vigilancia; Evidencias; Reportes,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Inundación, Afectación vial; brechas: Monitoreo y evidencias, Rutas y puntos seguros por validar, Coordinación COE/MTT.",
Guayas,Balzar,0904,Guayas,Balzar,5,2,0,1,2,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Balzar/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_Balzar_Consolidado_SNGR.2026-signed-signed.pdf,texto_extraible,68,50,60638,Registros base localizados; sin plan final localizado,55,Requiere plan cantonal estructurado,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Balzar/02_INFORME_VALORACION/INFORME_VALORACION_BALZAR.md,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación,Monitoreo y evidencias; Maquinaria / recursos operativos; Coordinación COE/MTT; Alojamientos temporales por validar; Drenaje / alcantarillado insuficiente,"Evacuación, rutas y puntos seguros; Limpieza y mantenimiento preventivo; Alojamientos temporales; Recursos y logística; Activación COE/UGR",Fortalecimiento UGR/COE; Simulacros / ejercicios; Protocolos / procedimientos; Actualización del plan; Capacitación,Indicadores; Evidencias; Seguimiento mensual; Reportes; Alertas / vigilancia,ROJO,Existe trazabilidad de registros pero no se localizó un plan cantonal final en los archivos compartidos.,"El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Guayas,Colimes,0905,Guayas,Colimes,4,1,0,0,3,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Colimes/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_Colimes_2026_2027_Completo01-signed-signed-signed.pdf,texto_extraible,22,22,42484,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Erosión hídrica / socavación; Inundación; Movimiento en masa / deslizamiento,Coordinación COE/MTT; Monitoreo y evidencias; Alojamientos temporales por validar; Rutas y puntos seguros por validar; Drenaje / alcantarillado insuficiente,"Activación COE/UGR; Evacuación, rutas y puntos seguros; Alojamientos temporales; Recursos y logística; Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE; Actualización del plan; Simulacros / ejercicios; Protocolos / procedimientos,Reportes; Alertas / vigilancia; Seguimiento mensual; Evidencias; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Erosión hídrica / socavación; brechas: Coordinación COE/MTT, Monitoreo y evidencias, Alojamientos temporales por validar.",
Guayas,Daule,0906,Guayas,Daule,5,1,0,2,2,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Daule/01_PLAN_COMPARTIDO_O_REFERENCIAS/plan_accion_enos_2026_2027_daule_final_sngr-signed-signed.pdf,texto_extraible,17,17,40879,Registros ENOS y seguimiento localizados; plan conversacional no extraíble como archivo original,70,Parcialmente concordante; requiere cierre documental,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Daule/02_INFORME_VALORACION/INFORME_VALORACION_DAULE.md,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación,Coordinación COE/MTT; Monitoreo y evidencias; Drenaje / alcantarillado insuficiente; Rutas y puntos seguros por validar; Maquinaria / recursos operativos,"Activación COE/UGR; Evacuación, rutas y puntos seguros; Recursos y logística; Limpieza y mantenimiento preventivo; Alojamientos temporales",Fortalecimiento UGR/COE; Actualización del plan; Capacitación; Protocolos / procedimientos; Simulacros / ejercicios,Reportes; Seguimiento mensual; Evidencias; Alertas / vigilancia; Indicadores,AMARILLO,"Se registran infraestructura esencial, reducción de capacidad hidráulica, brecha de resiliencia operativa de subestación y erosión ribereña.","El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Guayas,Duran,0907,Guayas,Durán,3,1,0,0,2,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Durán/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN  ANTE EL EVENTO EL NIÑO 2026 - Cantón Eloy Alfaro-signed (3).pdf,texto_extraible,105,50,66449,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Movimiento en masa / deslizamiento; Erosión hídrica / socavación,Monitoreo y evidencias; Coordinación COE/MTT; Drenaje / alcantarillado insuficiente; Maquinaria / recursos operativos; Alojamientos temporales por validar,"Activación COE/UGR; Limpieza y mantenimiento preventivo; Recursos y logística; Evacuación, rutas y puntos seguros; Alojamientos temporales",Fortalecimiento UGR/COE; Simulacros / ejercicios; Protocolos / procedimientos; Actualización del plan,Alertas / vigilancia; Reportes; Seguimiento mensual; Evidencias,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Monitoreo y evidencias, Coordinación COE/MTT, Drenaje / alcantarillado insuficiente.",
Guayas,Empalme,0908,Guayas,El Empalme,5,3,0,0,2,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/El Empalme/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_GAD_El_Empalme_V01_2026-signed-signed-signed-signed-signed-signed-signed-signed-signed.pdf,texto_extraible,20,20,28845,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Inundación; Afectación vial; Movimiento en masa / deslizamiento; Erosión hídrica / socavación,Coordinación COE/MTT; Drenaje / alcantarillado insuficiente; Monitoreo y evidencias; Maquinaria / recursos operativos; Alojamientos temporales por validar,"Activación COE/UGR; Limpieza y mantenimiento preventivo; Evacuación, rutas y puntos seguros; Recursos y logística; Alojamientos temporales",Fortalecimiento UGR/COE; Protocolos / procedimientos; Simulacros / ejercicios; Capacitación,Reportes; Evidencias; Alertas / vigilancia; Seguimiento mensual; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Inundación, Afectación vial; brechas: Coordinación COE/MTT, Drenaje / alcantarillado insuficiente, Monitoreo y evidencias.",
Guayas,El Triunfo,0909,Guayas,El Triunfo,5,1,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/El Triunfo/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE GESTIÓN DE RIESGOS CANTONAL.pdf,texto_extraible,72,50,62320,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Movimiento en masa / deslizamiento; Erosión hídrica / socavación,Monitoreo y evidencias; Coordinación COE/MTT; Alojamientos temporales por validar; Maquinaria / recursos operativos; Drenaje / alcantarillado insuficiente,"Alojamientos temporales; Activación COE/UGR; Recursos y logística; Limpieza y mantenimiento preventivo; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Capacitación; Protocolos / procedimientos; Simulacros / ejercicios; Actualización del plan,Alertas / vigilancia; Indicadores; Evidencias; Reportes,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Monitoreo y evidencias, Coordinación COE/MTT, Alojamientos temporales por validar.",
Guayas,Milagro,0910,Guayas,Milagro,5,3,0,0,2,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Milagro/01_PLAN_COMPARTIDO_O_REFERENCIAS/compilado PLAN_ENOS_MILAGRO_SNGR_COMPLETO.pdf,texto_extraible,50,50,96335,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación; Déficit hídrico / sequía,Drenaje / alcantarillado insuficiente; Monitoreo y evidencias; Coordinación COE/MTT; Maquinaria / recursos operativos; Alojamientos temporales por validar,"Limpieza y mantenimiento preventivo; Recursos y logística; Activación COE/UGR; Evacuación, rutas y puntos seguros; Alojamientos temporales",Fortalecimiento UGR/COE; Protocolos / procedimientos; Capacitación; Actualización del plan; Simulacros / ejercicios,Reportes; Evidencias; Alertas / vigilancia; Indicadores; Seguimiento mensual,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Drenaje / alcantarillado insuficiente, Monitoreo y evidencias, Coordinación COE/MTT.",
Guayas,Naranjal,0911,Guayas,Naranjal,7,3,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Naranjal/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_2026_2027_GAD_Naranjal_SNGR-signed-signed.pdf,texto_extraible,11,11,32748,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación; Movimiento en masa / deslizamiento,Drenaje / alcantarillado insuficiente; Coordinación COE/MTT; Monitoreo y evidencias; Maquinaria / recursos operativos; Alojamientos temporales por validar,"Activación COE/UGR; Limpieza y mantenimiento preventivo; Alojamientos temporales; Recursos y logística; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Capacitación; Actualización del plan; Simulacros / ejercicios,Seguimiento mensual; Reportes; Alertas / vigilancia; Evidencias; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Drenaje / alcantarillado insuficiente, Coordinación COE/MTT, Monitoreo y evidencias.",
Guayas,Naranjito,0912,Guayas,Naranjito,5,1,1,0,3,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Naranjito/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_Naranjito_2026_2027 (1)(1).docx,texto_extraible_docx,,0,27787,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación,Coordinación COE/MTT; Monitoreo y evidencias; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar; Rutas y puntos seguros por validar,"Activación COE/UGR; Evacuación, rutas y puntos seguros; Alojamientos temporales; Limpieza y mantenimiento preventivo; Recursos y logística",Fortalecimiento UGR/COE; Simulacros / ejercicios; Actualización del plan; Capacitación; Protocolos / procedimientos,Reportes; Alertas / vigilancia; Evidencias; Seguimiento mensual; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Coordinación COE/MTT, Monitoreo y evidencias, Drenaje / alcantarillado insuficiente.",
Guayas,Palestina,0913,Guayas,Palestina,5,1,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Palestina/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_2026_2027_GAD_Palestina__SNGR-signed-signed.pdf,texto_extraible,10,10,24813,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación,Coordinación COE/MTT; Monitoreo y evidencias; Alojamientos temporales por validar; Drenaje / alcantarillado insuficiente; Maquinaria / recursos operativos,"Activación COE/UGR; Recursos y logística; Alojamientos temporales; Evacuación, rutas y puntos seguros; Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE; Protocolos / procedimientos; Simulacros / ejercicios; Actualización del plan,Alertas / vigilancia; Evidencias; Reportes; Seguimiento mensual; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Coordinación COE/MTT, Monitoreo y evidencias, Alojamientos temporales por validar.",
Guayas,Pedro Carbo,0914,Guayas,Pedro Carbo,5,1,0,2,2,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Pedro Carbo/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN TERRITORIAL ANTE EL EVENTO EL NIÑO 2026-signed-signed-signed.pdf,texto_extraible,14,14,32999,Plan final y revisión localizados,86,Alta concordancia; apto para revisión y firma con anexos,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Pedro Carbo/02_INFORME_VALORACION/INFORME_VALORACION_PEDRO CARBO.md,Desbordamiento fluvial; Afectación vial; Inundación,Drenaje / alcantarillado insuficiente; Coordinación COE/MTT; Monitoreo y evidencias; Rutas y puntos seguros por validar; Maquinaria / recursos operativos,"Activación COE/UGR; Limpieza y mantenimiento preventivo; Recursos y logística; Evacuación, rutas y puntos seguros; Alojamientos temporales",Fortalecimiento UGR/COE; Capacitación; Actualización del plan; Simulacros / ejercicios; Protocolos / procedimientos,Evidencias; Reportes; Alertas / vigilancia; Seguimiento mensual; Indicadores,VERDE,"El plan contiene estructura completa: datos generales, caracterización territorial, amenazas, zonas expuestas, COE, fases operativas, recursos, seguimiento, comunicación, firmas y anexos.","El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
