codigo_dpa,provincia,canton,semaforo_preliminar,estado_documental,porcentaje_concordancia,amenazas,brechas,respuesta,fortalecimiento,monitoreo,archivo_plan_principal
0902,Guayas,Alfredo Baquerizo Moreno,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Inundación | Erosión hídrica / socavación | Afectación vial | Movimiento en masa / deslizamiento,Coordinación COE/MTT | Drenaje / alcantarillado insuficiente | Monitoreo y evidencias | Maquinaria / recursos operativos | Alojamientos temporales por validar,"Activación COE/UGR | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros | Recursos y logística | Alojamientos temporales",Fortalecimiento UGR/COE | Protocolos / procedimientos | Simulacros / ejercicios | Capacitación,Evidencias | Reportes | Alertas / vigilancia | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Alfredo Baquerizo Moreno (Jujan)/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_GAD_JUJAN V01_2026 ENVIO-signed-signed (1)-signed (1)-signed-1.pdf
0903,Guayas,Balao,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Inundación | Afectación vial | Erosión hídrica / socavación | Movimiento en masa / deslizamiento,Monitoreo y evidencias | Rutas y puntos seguros por validar | Coordinación COE/MTT | Alojamientos temporales por validar | Drenaje / alcantarillado insuficiente,"Evacuación, rutas y puntos seguros | Limpieza y mantenimiento preventivo | Alojamientos temporales | Recursos y logística | Activación COE/UGR",Fortalecimiento UGR/COE | Simulacros / ejercicios | Protocolos / procedimientos | Capacitación,Alertas / vigilancia | Evidencias | Reportes,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Balao/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE RESPUESTA ANTE EL FENÓMENO EL NIÑO EL CANTON BALAO 2026-signed-signed.pdf
0904,Guayas,Balzar,ROJO,Registros base localizados; sin plan final localizado,55,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación,Monitoreo y evidencias | Maquinaria / recursos operativos | Coordinación COE/MTT | Alojamientos temporales por validar | Drenaje / alcantarillado insuficiente,"Evacuación, rutas y puntos seguros | Limpieza y mantenimiento preventivo | Alojamientos temporales | Recursos y logística | Activación COE/UGR",Fortalecimiento UGR/COE | Simulacros / ejercicios | Protocolos / procedimientos | Actualización del plan | Capacitación,Indicadores | Evidencias | Seguimiento mensual | Reportes | Alertas / vigilancia,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Balzar/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_Balzar_Consolidado_SNGR.2026-signed-signed.pdf
0905,Guayas,Colimes,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Erosión hídrica / socavación | Inundación | Movimiento en masa / deslizamiento,Coordinación COE/MTT | Monitoreo y evidencias | Alojamientos temporales por validar | Rutas y puntos seguros por validar | Drenaje / alcantarillado insuficiente,"Activación COE/UGR | Evacuación, rutas y puntos seguros | Alojamientos temporales | Recursos y logística | Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE | Actualización del plan | Simulacros / ejercicios | Protocolos / procedimientos,Reportes | Alertas / vigilancia | Seguimiento mensual | Evidencias | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Colimes/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_Colimes_2026_2027_Completo01-signed-signed-signed.pdf
0906,Guayas,Daule,AMARILLO,Registros ENOS y seguimiento localizados; plan conversacional no extraíble como archivo original,70,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación,Coordinación COE/MTT | Monitoreo y evidencias | Drenaje / alcantarillado insuficiente | Rutas y puntos seguros por validar | Maquinaria / recursos operativos,"Activación COE/UGR | Evacuación, rutas y puntos seguros | Recursos y logística | Limpieza y mantenimiento preventivo | Alojamientos temporales",Fortalecimiento UGR/COE | Actualización del plan | Capacitación | Protocolos / procedimientos | Simulacros / ejercicios,Reportes | Seguimiento mensual | Evidencias | Alertas / vigilancia | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Daule/01_PLAN_COMPARTIDO_O_REFERENCIAS/plan_accion_enos_2026_2027_daule_final_sngr-signed-signed.pdf
0907,Guayas,Duran,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Movimiento en masa / deslizamiento | Erosión hídrica / socavación,Monitoreo y evidencias | Coordinación COE/MTT | Drenaje / alcantarillado insuficiente | Maquinaria / recursos operativos | Alojamientos temporales por validar,"Activación COE/UGR | Limpieza y mantenimiento preventivo | Recursos y logística | Evacuación, rutas y puntos seguros | Alojamientos temporales",Fortalecimiento UGR/COE | Simulacros / ejercicios | Protocolos / procedimientos | Actualización del plan,Alertas / vigilancia | Reportes | Seguimiento mensual | Evidencias,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Durán/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN  ANTE EL EVENTO EL NIÑO 2026 - Cantón Eloy Alfaro-signed (3).pdf
0908,Guayas,Empalme,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Inundación | Afectación vial | Movimiento en masa / deslizamiento | Erosión hídrica / socavación,Coordinación COE/MTT | Drenaje / alcantarillado insuficiente | Monitoreo y evidencias | Maquinaria / recursos operativos | Alojamientos temporales por validar,"Activación COE/UGR | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros | Recursos y logística | Alojamientos temporales",Fortalecimiento UGR/COE | Protocolos / procedimientos | Simulacros / ejercicios | Capacitación,Reportes | Evidencias | Alertas / vigilancia | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/El Empalme/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_GAD_El_Empalme_V01_2026-signed-signed-signed-signed-signed-signed-signed-signed-signed.pdf
0909,Guayas,El Triunfo,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Movimiento en masa / deslizamiento | Erosión hídrica / socavación,Monitoreo y evidencias | Coordinación COE/MTT | Alojamientos temporales por validar | Maquinaria / recursos operativos | Drenaje / alcantarillado insuficiente,"Alojamientos temporales | Activación COE/UGR | Recursos y logística | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Capacitación | Protocolos / procedimientos | Simulacros / ejercicios | Actualización del plan,Alertas / vigilancia | Indicadores | Evidencias | Reportes,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/El Triunfo/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE GESTIÓN DE RIESGOS CANTONAL.pdf
0910,Guayas,Milagro,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación | Déficit hídrico / sequía,Drenaje / alcantarillado insuficiente | Monitoreo y evidencias | Coordinación COE/MTT | Maquinaria / recursos operativos | Alojamientos temporales por validar,"Limpieza y mantenimiento preventivo | Recursos y logística | Activación COE/UGR | Evacuación, rutas y puntos seguros | Alojamientos temporales",Fortalecimiento UGR/COE | Protocolos / procedimientos | Capacitación | Actualización del plan | Simulacros / ejercicios,Reportes | Evidencias | Alertas / vigilancia | Indicadores | Seguimiento mensual,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Milagro/01_PLAN_COMPARTIDO_O_REFERENCIAS/compilado PLAN_ENOS_MILAGRO_SNGR_COMPLETO.pdf
0911,Guayas,Naranjal,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación | Movimiento en masa / deslizamiento,Drenaje / alcantarillado insuficiente | Coordinación COE/MTT | Monitoreo y evidencias | Maquinaria / recursos operativos | Alojamientos temporales por validar,"Activación COE/UGR | Limpieza y mantenimiento preventivo | Alojamientos temporales | Recursos y logística | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Capacitación | Actualización del plan | Simulacros / ejercicios,Seguimiento mensual | Reportes | Alertas / vigilancia | Evidencias | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Naranjal/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_2026_2027_GAD_Naranjal_SNGR-signed-signed.pdf
0912,Guayas,Naranjito,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación,Coordinación COE/MTT | Monitoreo y evidencias | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar | Rutas y puntos seguros por validar,"Activación COE/UGR | Evacuación, rutas y puntos seguros | Alojamientos temporales | Limpieza y mantenimiento preventivo | Recursos y logística",Fortalecimiento UGR/COE | Simulacros / ejercicios | Actualización del plan | Capacitación | Protocolos / procedimientos,Reportes | Alertas / vigilancia | Evidencias | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Naranjito/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_Naranjito_2026_2027 (1)(1).docx
0913,Guayas,Palestina,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación,Coordinación COE/MTT | Monitoreo y evidencias | Alojamientos temporales por validar | Drenaje / alcantarillado insuficiente | Maquinaria / recursos operativos,"Activación COE/UGR | Recursos y logística | Alojamientos temporales | Evacuación, rutas y puntos seguros | Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE | Protocolos / procedimientos | Simulacros / ejercicios | Actualización del plan,Alertas / vigilancia | Evidencias | Reportes | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Palestina/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_2026_2027_GAD_Palestina__SNGR-signed-signed.pdf
0914,Guayas,Pedro Carbo,VERDE,Plan final y revisión localizados,86,Desbordamiento fluvial | Afectación vial | Inundación,Drenaje / alcantarillado insuficiente | Coordinación COE/MTT | Monitoreo y evidencias | Rutas y puntos seguros por validar | Maquinaria / recursos operativos,"Activación COE/UGR | Limpieza y mantenimiento preventivo | Recursos y logística | Evacuación, rutas y puntos seguros | Alojamientos temporales",Fortalecimiento UGR/COE | Capacitación | Actualización del plan | Simulacros / ejercicios | Protocolos / procedimientos,Evidencias | Reportes | Alertas / vigilancia | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Pedro Carbo/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN TERRITORIAL ANTE EL EVENTO EL NIÑO 2026-signed-signed-signed.pdf
0916,Guayas,Samborondon,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Inundación | Afectación vial | Erosión hídrica / socavación | Marejada / zona costera,Coordinación COE/MTT | Drenaje / alcantarillado insuficiente | Monitoreo y evidencias | Maquinaria / recursos operativos | Alojamientos temporales por validar,"Activación COE/UGR | Limpieza y mantenimiento preventivo | Recursos y logística | Alojamientos temporales | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Protocolos / procedimientos | Simulacros / ejercicios | Capacitación,Alertas / vigilancia | Reportes | Indicadores | Seguimiento mensual,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Samborondón/01_PLAN_COMPARTIDO_O_REFERENCIAS/1.0 Plan de Preparación y Respuesta ante Eventos Hidrometeorológicos y Posibles Efectos del Fenómeno El Niño 2026-2027 (ENOS) -signed-2.pdf
0918,Guayas,Santa Lucia,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación | Déficit hídrico / sequía,Monitoreo y evidencias | Coordinación COE/MTT | Maquinaria / recursos operativos | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar,"Activación COE/UGR | Recursos y logística | Limpieza y mantenimiento preventivo | Alojamientos temporales | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Simulacros / ejercicios | Capacitación | Protocolos / procedimientos | Actualización del plan,Alertas / vigilancia | Reportes | Seguimiento mensual | Indicadores | Evidencias,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Santa Lucía/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN TERRITORIAL DEL CANTÓN SANTA LUCÍA PARA LA ÉPOCA LLUVIOSA Y ENOS 2026-2027-signed (1).pdf
0919,Guayas,Salitre,ROJO,Registros base localizados; sin plan final localizado,55,Desbordamiento fluvial | Inundación | Afectación vial | Erosión hídrica / socavación | Movimiento en masa / deslizamiento,Coordinación COE/MTT | Monitoreo y evidencias | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar | Maquinaria / recursos operativos,"Activación COE/UGR | Alojamientos temporales | Recursos y logística | Evacuación, rutas y puntos seguros | Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE | Capacitación | Simulacros / ejercicios | Actualización del plan,Alertas / vigilancia | Seguimiento mensual | Indicadores | Evidencias | Reportes,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Salitre/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan Cantonal de Preparación y Respuesta ante el Fenómeno ENOS-signed.pdf
0920,Guayas,San Jacinto De Yaguachi,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación | Movimiento en masa / deslizamiento,Coordinación COE/MTT | Monitoreo y evidencias | Alojamientos temporales por validar | Maquinaria / recursos operativos | Drenaje / alcantarillado insuficiente,"Activación COE/UGR | Alojamientos temporales | Recursos y logística | Evacuación, rutas y puntos seguros | Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE | Simulacros / ejercicios | Capacitación | Protocolos / procedimientos | Actualización del plan,Alertas / vigilancia | Reportes | Evidencias,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Yaguachi/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE RESPUESTA INVERNAL CANTONAL 2026-signed-signed SAN JACINTO DE YAGUACHI (1).pdf
0921,Guayas,Playas,ROJO,Registros base localizados; sin plan final localizado,50,Desbordamiento fluvial | Afectación vial | Inundación | Déficit hídrico / sequía,Monitoreo y evidencias | Coordinación COE/MTT | Alojamientos temporales por validar | Rutas y puntos seguros por validar | Maquinaria / recursos operativos,"Alojamientos temporales | Activación COE/UGR | Evacuación, rutas y puntos seguros | Recursos y logística | Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE | Protocolos / procedimientos,Seguimiento mensual | Evidencias | Indicadores | Alertas / vigilancia | Reportes,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Playas/01_PLAN_COMPARTIDO_O_REFERENCIAS/Informe_revision_porcentaje_Playas_ENOS_2026 (4).pdf
0922,Guayas,Simón Bolívar,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Movimiento en masa / deslizamiento | Erosión hídrica / socavación,Monitoreo y evidencias | Coordinación COE/MTT | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar | Maquinaria / recursos operativos,"Activación COE/UGR | Limpieza y mantenimiento preventivo | Alojamientos temporales | Recursos y logística | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Capacitación | Protocolos / procedimientos | Simulacros / ejercicios | Actualización del plan,Reportes | Evidencias | Alertas / vigilancia | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Simón Bolívar/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCION SIMON BOLIVAR 2026-signed-signed-signed-1.pdf
0923,Guayas,Crnel. Marcelino Maridueña,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Inundación | Afectación vial | Movimiento en masa / deslizamiento,Coordinación COE/MTT | Maquinaria / recursos operativos | Monitoreo y evidencias | Drenaje / alcantarillado insuficiente | Rutas y puntos seguros por validar,"Activación COE/UGR | Recursos y logística | Evacuación, rutas y puntos seguros | Alojamientos temporales | Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE | Protocolos / procedimientos | Actualización del plan | Capacitación,Alertas / vigilancia | Reportes,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Marcelino Maridueña/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN FRENTE A EVENTO EL NIÑO 2026-2027-signed (1)-signed-signed (1)-signed-signed.pdf
0924,Guayas,Lomas De Sargentillo,PENDIENTE,Plan localizado,,Pendiente de extracción técnica del plan,Pendiente de validación de brechas en plan/Kobo,Pendiente de matriz de respuesta validada,Pendiente de agenda de fortalecimiento CZ5,Pendiente de seguimiento F07 / evidencias,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Lomas de Sargentillo/01_PLAN_COMPARTIDO_O_REFERENCIAS/GESTION DE RIESGO20260622_13340049.pdf
0925,Guayas,Nobol,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Movimiento en masa / deslizamiento | Erosión hídrica / socavación,Coordinación COE/MTT | Monitoreo y evidencias | Drenaje / alcantarillado insuficiente | Rutas y puntos seguros por validar | Alojamientos temporales por validar,"Activación COE/UGR | Evacuación, rutas y puntos seguros | Limpieza y mantenimiento preventivo | Alojamientos temporales | Recursos y logística",Fortalecimiento UGR/COE | Simulacros / ejercicios | Protocolos / procedimientos | Actualización del plan | Capacitación,Alertas / vigilancia | Reportes | Evidencias | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Nobol/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCION ENOS 2026 - 2027-signed-signed-signed-signed.pdf
0927,Guayas,Gnral. Antonio Elizalde,PENDIENTE,Plan localizado,,Movimiento en masa / deslizamiento | Desbordamiento fluvial | Afectación vial | Erosión hídrica / socavación | Inundación,Monitoreo y evidencias | Drenaje / alcantarillado insuficiente | Rutas y puntos seguros por validar | Coordinación COE/MTT | Alojamientos temporales por validar,"Evacuación, rutas y puntos seguros | Limpieza y mantenimiento preventivo | Activación COE/UGR | Alojamientos temporales | Recursos y logística",Fortalecimiento UGR/COE | Protocolos / procedimientos | Actualización del plan | Capacitación | Simulacros / ejercicios,Reportes | Evidencias | Alertas / vigilancia,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/General Antonio Elizalde (Bucay)/01_PLAN_COMPARTIDO_O_REFERENCIAS/informe_tecnico_bucay_enos_apa7_final-signed-1.pdf
0928,Guayas,Isidro Ayora,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Movimiento en masa / deslizamiento,Coordinación COE/MTT | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar | Maquinaria / recursos operativos | Monitoreo y evidencias,"Limpieza y mantenimiento preventivo | Activación COE/UGR | Alojamientos temporales | Recursos y logística | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Simulacros / ejercicios | Protocolos / procedimientos,Reportes | Indicadores | Alertas / vigilancia,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Isidro Ayora/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE CONTINGENCIA20260623.pdf
